date,hour,day_type,season,is_rain,temperature,is_heatwave,is_coldwave,facility_id,facility_name,capacity,x,y,base_risk,visitor_count,density,emergency_occurred,emergency_count,emergency_types,max_severity,avg_response_time_min,month,dayofweek,is_weekend,day_type_enc,season_enc,fac_camping,fac_experience,fac_gate,fac_observatory,fac_playground,emergency_type_enc,severity_enc,heat_density,cold_density,rain_density,holiday_summer,is_peak_hour,is_high_density,density_risk_ratio,weighted_risk,dist_from_gate,dist_from_center
2025-08-01,9,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,44,0.147,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,9.8,0.002205,15.811,13.176
2025-08-01,10,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,67,0.223,1,1,심정지,경증,11.0,8,4,0,0,4,1,0,0,0,0,8,1,0.0,0.0,0.0,0,0,0,14.8667,0.003345,15.811,13.176
2025-08-01,11,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,77,0.257,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,17.1333,0.003855,15.811,13.176
2025-08-01,12,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,114,0.38,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,25.3333,0.0057,15.811,13.176
2025-08-01,13,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,144,0.48,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,32.0,0.0072,15.811,13.176
2025-08-01,14,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,145,0.483,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,32.2,0.007245,15.811,13.176
2025-08-01,15,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,141,0.47,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,31.3333,0.00705,15.811,13.176
2025-08-01,16,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,129,0.43,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,28.6667,0.00645,15.811,13.176
2025-08-01,17,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,97,0.323,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,21.5333,0.004845,15.811,13.176
2025-08-01,18,평일,여름,0,24.8,0,0,F01,캠핑장A,300,10,20,0.015,67,0.223,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,14.8667,0.003345,15.811,13.176
2025-08-01,9,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,24,0.12,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,8.0,0.0018,22.361,6.346
2025-08-01,10,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,33,0.165,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,11.0,0.002475,22.361,6.346
2025-08-01,11,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,55,0.275,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,18.3333,0.004125,22.361,6.346
2025-08-01,12,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,78,0.39,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,26.0,0.00585,22.361,6.346
2025-08-01,13,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,80,0.4,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,26.6667,0.006,22.361,6.346
2025-08-01,14,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,89,0.445,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,29.6667,0.006675,22.361,6.346
2025-08-01,15,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,91,0.455,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,30.3333,0.006825,22.361,6.346
2025-08-01,16,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,84,0.42,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,28.0,0.0063,22.361,6.346
2025-08-01,17,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,68,0.34,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,22.6667,0.0051,22.361,6.346
2025-08-01,18,평일,여름,0,24.8,0,0,F02,캠핑장B,200,15,25,0.015,38,0.19,0,0,none,none,,8,4,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,12.6667,0.00285,22.361,6.346
