date,hour,day_type,season,is_rain,temperature,is_heatwave,is_coldwave,facility_id,facility_name,facility_type,capacity,x,y,base_risk,visitor_count,density,emergency_occurred,emergency_count,emergency_types,max_severity,avg_response_time_min
2025-08-01,9,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,44,0.147,0,0,,,
2025-08-01,10,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,67,0.223,1,1,심정지,경증,11.0
2025-08-01,11,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,77,0.257,0,0,,,
2025-08-01,12,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,114,0.38,0,0,,,
2025-08-01,13,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,144,0.48,0,0,,,
2025-08-01,14,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,145,0.483,0,0,,,
2025-08-01,15,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,141,0.47,0,0,,,
2025-08-01,16,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,129,0.43,0,0,,,
2025-08-01,17,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,97,0.323,0,0,,,
2025-08-01,18,평일,여름,False,24.8,False,False,F01,캠핑장A,camping,300,10,20,0.015,67,0.223,0,0,,,
2025-08-01,9,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,24,0.12,0,0,,,
2025-08-01,10,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,33,0.165,0,0,,,
2025-08-01,11,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,55,0.275,0,0,,,
2025-08-01,12,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,78,0.39,0,0,,,
2025-08-01,13,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,80,0.4,0,0,,,
2025-08-01,14,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,89,0.445,0,0,,,
2025-08-01,15,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,91,0.455,0,0,,,
2025-08-01,16,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,84,0.42,0,0,,,
2025-08-01,17,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,68,0.34,0,0,,,
2025-08-01,18,평일,여름,False,24.8,False,False,F02,캠핑장B,camping,200,15,25,0.015,38,0.19,0,0,,,
2025-08-01,9,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,21,0.14,0,0,,,
2025-08-01,10,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,25,0.167,0,0,,,
2025-08-01,11,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,51,0.34,0,0,,,
2025-08-01,12,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,64,0.427,0,0,,,
2025-08-01,13,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,68,0.453,0,0,,,
2025-08-01,14,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,63,0.42,1,1,심정지,경증,11.0
2025-08-01,15,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,74,0.493,0,0,,,
2025-08-01,16,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,60,0.4,1,1,심정지,경증,12.0
2025-08-01,17,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,47,0.313,0,0,,,
2025-08-01,18,평일,여름,False,24.8,False,False,F03,전망대,observatory,150,40,60,0.02,31,0.207,0,0,,,
2025-08-01,9,평일,여름,False,24.8,False,False,F04,체험농장,experience,250,25,10,0.01,25,0.1,0,0,,,
2025-08-01,10,평일,여름,False,24.8,False,False,F04,체험농장,experience,250,25,10,0.01,59,0.236,0,0,,,
2025-08-01,11,평일,여름,False,24.8,False,False,F04,체험농장,experience,250,25,10,0.01,57,0.228,0,0,,,
